"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 10:10:50 GMT 2025","Mon Jan 13 10:10:51 GMT 2025","738","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeUpdatedViaApi","Check the updated existing suite via API",""
"passed","Mon Jan 13 10:10:39 GMT 2025","Mon Jan 13 10:10:43 GMT 2025","3562","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidCredentialsLogin","Check login with invalid username and invalid password",""
"passed","Mon Jan 13 10:07:17 GMT 2025","Mon Jan 13 10:07:31 GMT 2025","14175","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:10:36 GMT 2025","Mon Jan 13 10:10:37 GMT 2025","1425","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","emptyLogin","Check login with empty username and valid password",""
"passed","Mon Jan 13 10:09:00 GMT 2025","Mon Jan 13 10:09:01 GMT 2025","907","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Check the added new test case via API",""
"passed","Mon Jan 13 10:10:23 GMT 2025","Mon Jan 13 10:10:36 GMT 2025","12826","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeUpdated","Check the updated test case with valid data",""
"passed","Mon Jan 13 10:07:59 GMT 2025","Mon Jan 13 10:08:39 GMT 2025","40914","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:10:37 GMT 2025","Mon Jan 13 10:10:39 GMT 2025","1642","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","emptyPassword","Check login with valid username and empty password",""
"passed","Mon Jan 13 10:10:52 GMT 2025","Mon Jan 13 10:10:52 GMT 2025","583","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeDeletedViaApi","Check the deletion of the existing project via API",""
"passed","Mon Jan 13 10:07:31 GMT 2025","Mon Jan 13 10:07:46 GMT 2025","15079","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:09:22 GMT 2025","Mon Jan 13 10:09:32 GMT 2025","10151","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:09:02 GMT 2025","Mon Jan 13 10:09:03 GMT 2025","1097","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeUpdated","Check the updated existing test case via API",""
"passed","Mon Jan 13 10:09:32 GMT 2025","Mon Jan 13 10:09:43 GMT 2025","11262","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:10:08 GMT 2025","Mon Jan 13 10:10:23 GMT 2025","14954","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeDeleted","Check the deletion of the existing suite",""
"passed","Mon Jan 13 10:07:35 GMT 2025","Mon Jan 13 10:07:48 GMT 2025","12628","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeCreated","Check the added project with valid data",""
"passed","Mon Jan 13 10:10:51 GMT 2025","Mon Jan 13 10:10:52 GMT 2025","488","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeCreatedViaApi","Check the added new project via API",""
"passed","Mon Jan 13 10:07:48 GMT 2025","Mon Jan 13 10:07:59 GMT 2025","11318","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeDeleted","Check the deletion of the existing project",""
"passed","Mon Jan 13 10:08:47 GMT 2025","Mon Jan 13 10:09:00 GMT 2025","12564","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeUpdated","Check the updated existing suite",""
"passed","Mon Jan 13 10:09:43 GMT 2025","Mon Jan 13 10:09:54 GMT 2025","10181","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:08:23 GMT 2025","Mon Jan 13 10:08:47 GMT 2025","23834","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeDeleted","Check the deletion of the existing suite",""
"passed","Mon Jan 13 10:07:16 GMT 2025","Mon Jan 13 10:07:35 GMT 2025","18903","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","checkAddedItems","Check the added project, suite, test case",""
"passed","Mon Jan 13 10:07:59 GMT 2025","Mon Jan 13 10:08:09 GMT 2025","9742","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeUpdated","Check the updated existing project",""
"passed","Mon Jan 13 10:07:46 GMT 2025","Mon Jan 13 10:07:58 GMT 2025","12452","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:10:45 GMT 2025","Mon Jan 13 10:10:49 GMT 2025","3803","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","logInSuccessful","Check login with valid username and valid password",""
"passed","Mon Jan 13 10:10:43 GMT 2025","Mon Jan 13 10:10:45 GMT 2025","2012","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidPasswordLogin","Check login with valid username and invalid password",""
"passed","Mon Jan 13 10:08:56 GMT 2025","Mon Jan 13 10:09:08 GMT 2025","12273","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:09:54 GMT 2025","Mon Jan 13 10:10:08 GMT 2025","13846","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:10:49 GMT 2025","Mon Jan 13 10:10:49 GMT 2025","619","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeCreatedViaApi","Check the added new suite via API",""
"passed","Mon Jan 13 10:08:40 GMT 2025","Mon Jan 13 10:08:55 GMT 2025","15908","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:08:10 GMT 2025","Mon Jan 13 10:08:23 GMT 2025","13573","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeCreated","Check the added suite with valid data",""
"passed","Mon Jan 13 10:10:49 GMT 2025","Mon Jan 13 10:10:50 GMT 2025","1121","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeDeletedViaApi","Check the deletion of the existing suite via API",""
"passed","Mon Jan 13 10:09:01 GMT 2025","Mon Jan 13 10:09:02 GMT 2025","1109","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeDeletedViaApi","Check the deletion of the existing test case via API",""
"passed","Mon Jan 13 10:09:08 GMT 2025","Mon Jan 13 10:09:22 GMT 2025","13754","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
